trip_scheduledArrival,trip_realtimeArrival,trip_arrivalDelay,trip_scheduledDeparture,trip_realtimeDeparture,trip_departureDelay,trip_realtime,trip_realtimeState,trip_serviceDay,trip_trip.gtfsId,trip_trip.route.shortName,stop_gtfsId,stop_name
46200,46200,0,46200,46200,0,False,SCHEDULED,1631912400,HSL:1052_20210917_La_2_1250,52,HSL:2222210,Teekkarikylä
46800,46800,0,46800,46800,0,False,SCHEDULED,1631912400,HSL:2111_20210917_La_1_1300,111,HSL:2222210,Teekkarikylä
46800,46800,0,46800,46800,0,False,SCHEDULED,1631912400,HSL:1052_20210917_La_2_1300,52,HSL:2222210,Teekkarikylä
45600,45656,56,45600,45666,66,True,UPDATED,1631912400,HSL:2510_20210917_La_2_1232,510,HSL:2222212,Aalto-yliopisto (M)
46920,45675,-1245,46920,45675,-1245,True,UPDATED,1631912400,HSL:1052_20210917_La_1_1216,52,HSL:2222212,Aalto-yliopisto (M)
45720,45697,-23,45720,45697,-23,True,UPDATED,1631912400,HSL:1052_20210917_La_1_1156,52,HSL:2222212,Aalto-yliopisto (M)
45720,45731,11,45720,45740,20,True,UPDATED,1631912400,HSL:2550_20210917_La_1_1142,550,HSL:2222212,Aalto-yliopisto (M)
45840,45828,-12,45840,45841,1,True,UPDATED,1631912400,HSL:2111_20210917_La_2_1208,111,HSL:2222212,Aalto-yliopisto (M)
45600,45577,-23,45600,45577,-23,True,UPDATED,1631912400,HSL:1052_20210917_La_1_1156,52,HSL:2222214,Tekniikantie
46800,45675,-1125,46800,45675,-1125,True,UPDATED,1631912400,HSL:1052_20210917_La_1_1216,52,HSL:2222214,Tekniikantie
46200,46202,2,46200,46202,2,True,UPDATED,1631912400,HSL:1052_20210917_La_1_1206,52,HSL:2222214,Tekniikantie
47400,46265,-1135,47400,46265,-1135,True,UPDATED,1631912400,HSL:1052_20210917_La_1_1226,52,HSL:2222214,Tekniikantie
48000,48000,0,48000,48000,0,False,SCHEDULED,1631912400,HSL:1052_20210917_La_1_1236,52,HSL:2222214,Tekniikantie
87540,87540,0,87540,87540,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2400,108N,HSL:2222213,Otakaari
90240,90240,0,90240,90240,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2445,108N,HSL:2222213,Otakaari
92940,92940,0,92940,92940,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2530,108N,HSL:2222213,Otakaari
95640,95640,0,95640,95640,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2615,108N,HSL:2222213,Otakaari
98340,98340,0,98340,98340,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2700,108N,HSL:2222213,Otakaari
46920,45675,-1245,46920,45675,-1245,True,UPDATED,1631912400,HSL:1052_20210917_La_1_1216,52,HSL:2222216,Vuorimies
45720,45697,-23,45720,45697,-23,True,UPDATED,1631912400,HSL:1052_20210917_La_1_1156,52,HSL:2222216,Vuorimies
45780,45807,27,45780,45808,28,True,UPDATED,1631912400,HSL:2111_20210917_La_2_1208,111,HSL:2222216,Vuorimies
47520,46265,-1255,47520,46265,-1255,True,UPDATED,1631912400,HSL:1052_20210917_La_1_1226,52,HSL:2222216,Vuorimies
46320,46322,2,46320,46322,2,True,UPDATED,1631912400,HSL:1052_20210917_La_1_1206,52,HSL:2222216,Vuorimies
45720,45720,0,45720,45720,0,False,SCHEDULED,1631912400,HSL:1052_20210917_La_2_1240,52,HSL:2222215,Vuorimies
46020,46020,0,46020,46020,0,False,SCHEDULED,1631912400,HSL:2111_20210917_La_1_1245,111,HSL:2222215,Vuorimies
46320,46320,0,46320,46320,0,False,SCHEDULED,1631912400,HSL:1052_20210917_La_2_1250,52,HSL:2222215,Vuorimies
46920,46920,0,46920,46920,0,False,SCHEDULED,1631912400,HSL:2111_20210917_La_1_1300,111,HSL:2222215,Vuorimies
46920,46920,0,46920,46920,0,False,SCHEDULED,1631912400,HSL:1052_20210917_La_2_1300,52,HSL:2222215,Vuorimies
87600,87600,0,87600,87600,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2400,108N,HSL:2222223,Tietotie
90300,90300,0,90300,90300,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2445,108N,HSL:2222223,Tietotie
93000,93000,0,93000,93000,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2530,108N,HSL:2222223,Tietotie
95700,95700,0,95700,95700,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2615,108N,HSL:2222223,Tietotie
98400,98400,0,98400,98400,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2700,108N,HSL:2222223,Tietotie
45600,45586,-14,45600,45592,-8,True,UPDATED,1631912400,HSL:2550_20210917_La_2_1229,550,HSL:2222225,Innopoli
46200,46200,0,46200,46200,0,False,SCHEDULED,1631912400,HSL:2111_20210917_La_1_1245,111,HSL:2222225,Innopoli
46200,46200,0,46200,46200,0,False,SCHEDULED,1631912400,HSL:2550_20210917_La_2_1239,550,HSL:2222225,Innopoli
46800,46800,0,46800,46800,0,False,SCHEDULED,1631912400,HSL:2550_20210917_La_2_1249,550,HSL:2222225,Innopoli
47100,47100,0,47100,47100,0,False,SCHEDULED,1631912400,HSL:2111_20210917_La_1_1300,111,HSL:2222225,Innopoli
86880,86880,0,86880,86880,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2400,108N,HSL:2222224,Tietotie
89580,89580,0,89580,89580,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2445,108N,HSL:2222224,Tietotie
92280,92280,0,92280,92280,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2530,108N,HSL:2222224,Tietotie
94980,94980,0,94980,94980,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2615,108N,HSL:2222224,Tietotie
97680,97680,0,97680,97680,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2700,108N,HSL:2222224,Tietotie
87480,87480,0,87480,87480,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2400,108N,HSL:2222227,Sähkömies
90180,90180,0,90180,90180,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2445,108N,HSL:2222227,Sähkömies
92880,92880,0,92880,92880,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2530,108N,HSL:2222227,Sähkömies
95580,95580,0,95580,95580,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2615,108N,HSL:2222227,Sähkömies
98280,98280,0,98280,98280,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2700,108N,HSL:2222227,Sähkömies
45600,45614,14,45600,45619,19,True,UPDATED,1631912400,HSL:2550_20210917_La_1_1142,550,HSL:2222226,Innopoli
45660,45708,48,45660,45710,50,True,UPDATED,1631912400,HSL:2111_20210917_La_2_1208,111,HSL:2222226,Innopoli
46200,46238,38,46200,46246,46,True,UPDATED,1631912400,HSL:2550_20210917_La_1_1152,550,HSL:2222226,Innopoli
